Fog executionTime (s),Cloud executionTime (s),m,n,Fog faster than Cloud ?
0.101587908,0.121450042,9100,30,TRUE
0.192438932,0.122012107,9200,30,FALSE
0.172713239,0.124128755,9300,30,FALSE
0.646188133,0.120865338,9400,30,FALSE
0.890023382,0.125882867,9500,30,
0.174645751,0.122008183,9600,30,FALSE
0.178094209,0.125484411,9700,30,FALSE
0.183687084,0.125122782,9800,30,FALSE
0.217994461,0.122193223,9900,30,FALSE
0.179964839,0.126052513,10000,30,FALSE
0.043698868,0.111596403,1000,40,TRUE
0.04185299,0.112178088,1100,40,TRUE
0.043376783,0.112297927,1200,40,TRUE
0.045437586,0.113346893,1300,40,TRUE
0.047689467,0.11276732,1400,40,TRUE
0.049621074,0.113112046,1500,40,TRUE
0.051036801,0.113121403,1600,40,TRUE
0.053288381,0.117343529,1700,40,TRUE
0.055914267,0.120699315,1800,40,TRUE
0.059408606,0.113964802,1900,40,TRUE
0.049995985,0.113691015,2000,40,TRUE
0.035353929,0.118408192,2100,40,TRUE
0.037053103,0.114689569,2200,40,TRUE
0.038209229,0.119036062,2300,40,TRUE
0.068445411,0.114012194,2400,40,TRUE
0.071154611,0.113969933,2500,40,TRUE
0.071814781,0.115610547,2600,40,TRUE
0.073872264,0.114832953,2700,40,TRUE
0.076901134,0.120896731,2800,40,TRUE
0.077766871,0.114661194,2900,40,TRUE
0.087098593,0.120456015,3000,40,TRUE
0.099608004,0.13357126,3100,40,TRUE
0.082333419,0.117136754,3200,40,TRUE
0.084910405,0.121847291,3300,40,TRUE
0.086224706,0.131382166,3400,40,TRUE
0.094016335,0.117224596,3500,40,TRUE
0.09091532,3.123408212,3600,40,
0.09402509,0.140600388,3700,40,TRUE
0.094992553,0.121517961,3800,40,TRUE
0.119177635,0.118967842,3900,40,FALSE
0.098943609,0.12155358,4000,40,TRUE
0.100390125,0.135034681,4100,40,TRUE
0.105304417,0.130425871,4200,40,TRUE
0.104823553,0.122049537,4300,40,TRUE
0.107974375,0.118805139,4400,40,TRUE
0.142052641,0.121066378,4500,40,FALSE
0.113111743,0.126373995,4600,40,TRUE
0.115625338,0.120395643,4700,40,TRUE
0.117011784,3.121224855,4800,40,
0.122290121,0.121789938,4900,40,FALSE
0.12014691,0.127185094,5000,40,TRUE
0.086795525,0.127139513,5100,40,TRUE
0.095551599,0.124496421,5200,40,TRUE
0.131105058,0.11976898,5300,40,FALSE
0.135794163,0.121058227,5400,40,FALSE
0.139949275,0.121504679,5500,40,FALSE
0.144053072,0.120827907,5600,40,FALSE
0.154267435,0.123925603,5700,40,FALSE
0.182337464,0.123986578,5800,40,FALSE
